Course_Title,Intake_Proficiency_Score,Intake_Applications_Score,Outcome_Proficiency_Score,Outcome_Applications_Score,Score_Increase,Score_Increase_Rounded
Advanced Transportation Management Systems (TMS),894.775,870.62,1719.699,1590.376,0.874976988,0.87
Advanced Transportation Management Systems (TMS) - Virtual,361.861,343.217,733.388,700.073,1.033053081,1.03
Advanced Warehouse Management Systems (WMS),332.285,338.944,690.828,693.874,1.062935302,1.06
Automation in Logistics,610.08,431.205,1637.351,1563.566,2.074006636,2.07
Cybersecurity in Supply Chain Management,208.21,143.812,558.765,527.825,2.08671049,2.09
Intro to NERP,1218.265,1007.593,1519.258,1391.487,0.307695729,0.31
Intro to NERP - Virtual,1434.073,1164.644,1779.554,1616.849,0.306953778,0.31
Logistics Software Essentials,1989.611,1618.214,2835.787,2671.169,0.526392217,0.53
Logistics Software Essentials - Virtual,1006.981,833.175,1484.612,1415.27,0.575889218,0.58
Supply Chain Optimization Strategies,209.775,197.052,896.969,894.329,3.403095173,3.4
